Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene % GC content	Gene type	HGNC symbol
ENSG00000274923	X	7896514	7896722	44.50	unprocessed_pseudogene	
ENSG00000262510	CHR_HSCHR21_2_CTG1_1	22109451	22116528	37.38	lincRNA	
ENSG00000271629	2	21198518	21198896	36.15	processed_pseudogene	
ENSG00000088766	20	6006090	6040053	39.36	protein_coding	CRLS1
ENSG00000086475	10	13317424	13348298	45.78	protein_coding	SEPHS1
ENSG00000174327	17	7036075	7040121	55.87	protein_coding	SLC16A13
ENSG00000227255	17	15764703	15765664	57.28	unprocessed_pseudogene	CDRT15P2
ENSG00000260595	11	50053410	50054309	45.67	unprocessed_pseudogene	OR4C49P
ENSG00000173597	4	69721162	69787961	37.28	protein_coding	SULT1B1
ENSG00000238280	10	62682652	62805887	41.09	antisense	
ENSG00000248491	4	127096891	127470569	37.02	lincRNA	
ENSG00000228340	20	60087840	60527458	43.30	lincRNA	MIR646HG
ENSG00000274536	X	66015461	66020422	43.47	antisense	
ENSG00000278279	CHR_HSCHR19LRC_PGF2_CTG3_1	54414251	54422496	52.52	protein_coding	LILRB4
ENSG00000275490	2	90309230	90309333	44.23	unprocessed_pseudogene	
ENSG00000133818	11	14277926	14364506	39.24	protein_coding	RRAS2
ENSG00000224569	4	13977166	13978028	43.68	processed_pseudogene	
ENSG00000270960	4	164933086	164933506	60.57	processed_pseudogene	
ENSG00000010319	3	52433053	52445085	59.63	protein_coding	SEMA3G
ENSG00000251418	4	148526493	148527139	51.16	processed_pseudogene	ASS1P8
ENSG00000237572	7	63209219	63211822	37.44	unprocessed_pseudogene	
ENSG00000253611	8	43219960	43220809	47.88	processed_pseudogene	VN1R46P
ENSG00000267151	17	43444707	43451200	44.92	lincRNA	MIR2117HG
ENSG00000241792	3	148093175	148127233	33.04	lincRNA	
ENSG00000188338	3	50205246	50221486	58.43	protein_coding	SLC38A3
ENSG00000115386	2	79120362	79123419	44.67	protein_coding	REG1A
ENSG00000262079	17	55325757	55327791	46.78	lincRNA	
ENSG00000224247	21	15493932	15496124	39.99	lincRNA	
ENSG00000248645	4	164938322	164939990	46.79	unprocessed_pseudogene	
ENSG00000224758	10	132961340	132962237	59.47	lincRNA	LINC01167
ENSG00000234207	2	22377594	22482004	36.56	lincRNA	
ENSG00000275628	9	60918581	60927822	47.79	transcribed_processed_pseudogene	
ENSG00000256826	17	64491523	64491789	50.19	processed_pseudogene	ATP5MFP4
ENSG00000228999	2	21933268	22531105	36.69	lincRNA	
ENSG00000185972	9	36169394	36171334	52.55	protein_coding	CCIN
ENSG00000270694	7	72722885	72723089	62.44	processed_pseudogene	
ENSG00000134571	11	47331397	47352702	57.91	protein_coding	MYBPC3
ENSG00000205022	16	88863333	88866660	64.60	protein_coding	PABPN1L
ENSG00000174564	3	136946230	137011085	41.89	protein_coding	IL20RB
ENSG00000224403	3	193993331	193993985	46.26	processed_pseudogene	DPPA2P3
ENSG00000225663	17	81822361	81833302	59.80	protein_coding	MCRIP1
ENSG00000142627	1	16124337	16156087	57.33	protein_coding	EPHA2
ENSG00000243085	9	38526831	38527032	63.37	processed_pseudogene	
ENSG00000177125	9	126860665	126885878	43.23	protein_coding	ZBTB34
ENSG00000198373	16	69762306	69941741	45.60	protein_coding	WWP2
ENSG00000164107	4	173524969	173530229	55.84	protein_coding	HAND2
ENSG00000144401	2	207580631	207625928	40.90	protein_coding	METTL21A
ENSG00000277149	7	72558744	72828198	41.66	protein_coding	TYW1B
ENSG00000255199	11	50100892	50102898	40.96	unprocessed_pseudogene	GTF2IP11
ENSG00000270999	2	90315366	90315836	49.47	IG_V_pseudogene	IGKV1OR2-118
ENSG00000237667	2	779840	868608	45.04	lincRNA	LINC01115
ENSG00000229425	21	15370500	15627342	37.64	lincRNA	
ENSG00000237888	17	43476198	43476665	54.27	processed_pseudogene	
ENSG00000255235	11	89883927	89886213	36.86	unprocessed_pseudogene	
ENSG00000256525	17	64477785	64497036	41.34	protein_coding	POLG2
ENSG00000235430	17	15768717	15771426	53.84	processed_pseudogene	ZSWIM5P1
ENSG00000232903	10	132943967	132965289	51.90	lincRNA	LINC01166
ENSG00000214146	3	193957372	194003659	44.30	lincRNA	LINC02026
ENSG00000267185	17	42533532	42534009	42.47	processed_pseudogene	PTP4A2P1
ENSG00000272904	9	38542479	38568422	48.77	processed_transcript	
ENSG00000285660	3	148090341	148096921	32.03	lincRNA	
ENSG00000231623	CHR_HSCHR6_MHC_SSTO_CTG1	31518863	31519442	50.00	processed_pseudogene	RPL15P4
ENSG00000244550	7	63233115	63241645	39.54	processed_transcript	
ENSG00000265897	2	90359809	90360032	68.75	processed_pseudogene	
ENSG00000276581	9	60914374	60920650	52.99	protein_coding	SPATA31A5
ENSG00000256043	4	155924118	155953917	38.31	protein_coding	CTSO
ENSG00000242654	5	19041009	19041386	39.42	processed_pseudogene	RPL32P14
ENSG00000255442	11	50170156	50190441	35.75	unprocessed_pseudogene	
ENSG00000227018	17	15783288	15784307	38.14	processed_pseudogene	IL6STP1
ENSG00000181915	10	62804857	62808483	47.48	protein_coding	ADO
ENSG00000237515	16	12901620	13240413	43.22	protein_coding	SHISA9
ENSG00000249174	5	18965861	19142346	34.81	lincRNA	
ENSG00000282602	22	35372174	35372621	59.38	lincRNA	
ENSG00000270424	16	28749959	28750595	65.93	processed_pseudogene	
ENSG00000240707	10	132965534	132976354	52.86	lincRNA	LINC01168
ENSG00000227590	13	106663437	106663847	52.55	processed_pseudogene	ATP5MC1P5
ENSG00000225254	9	38452782	38454070	38.25	processed_pseudogene	ARMC8P1
ENSG00000274533	CHR_HSCHR19LRC_LRC_S_CTG3_1	54845266	54856124	46.62	protein_coding	KIR2DS4
ENSG00000152292	2	85418721	85437029	54.62	protein_coding	SH2D6
ENSG00000188064	22	45920362	45977129	60.20	protein_coding	WNT7B
ENSG00000253708	8	30176554	30180888	39.65	antisense	
ENSG00000005073	7	27181510	27185223	55.22	protein_coding	HOXA11
ENSG00000251487	5	19035197	19038799	32.03	lincRNA	
ENSG00000253884	8	43246755	43246935	70.17	processed_pseudogene	
ENSG00000226075	7	63233035	63234245	63.01	unprocessed_pseudogene	PHKG1P1
ENSG00000282041	22	35376422	35377261	54.88	lincRNA	
ENSG00000179277	17	15786618	15787575	61.06	processed_pseudogene	MEIS3P1
ENSG00000270654	2	21362292	21364025	45.44	processed_pseudogene	NUTF2P8
ENSG00000180071	9	38571358	38620660	36.89	protein_coding	ANKRD18A
ENSG00000196993	16	28751787	28772807	46.03	protein_coding	NPIPB9
ENSG00000229621	2	21687434	21710623	36.58	lincRNA	LINC01822
ENSG00000230156	13	106653916	106672163	38.74	lincRNA	LINC00443
ENSG00000240651	7	63241590	63248321	42.07	unprocessed_pseudogene	SEPT7P4
ENSG00000177669	8	30131824	30144686	45.33	protein_coding	MBOAT4
ENSG00000265519	17	15787787	15788205	55.61	lincRNA	
ENSG00000262040	CHR_HSCHR17_1_CTG4	41413837	41419100	49.75	unprocessed_pseudogene	
ENSG00000230102	3	194005259	194070970	45.45	processed_transcript	LINC02028
ENSG00000276855	17	15789016	15789705	33.62	lincRNA	
ENSG00000263022	CHR_HSCHR17_1_CTG4	41428078	41431848	51.98	protein_coding	KRT37
ENSG00000262752	CHR_HSCHR21_2_CTG1_1	22134698	22136083	40.98	processed_pseudogene	
ENSG00000233090	17	15792862	15793045	42.39	unprocessed_pseudogene	
ENSG00000148773	10	128096659	128126385	43.51	protein_coding	MKI67
ENSG00000223691	2	22188336	22190313	39.08	processed_pseudogene	
ENSG00000254617	11	89887366	89889991	39.68	unprocessed_pseudogene	
ENSG00000261847	CHR_HSCHR21_2_CTG1_1	22153950	22154299	52.57	processed_pseudogene	
ENSG00000034152	17	21284672	21315240	56.97	protein_coding	MAP2K3
ENSG00000234489	10	62741208	62741385	50.00	processed_pseudogene	ALDH7A1P4
ENSG00000235148	9	31644576	31645160	42.22	processed_pseudogene	HMGB3P23
ENSG00000100292	22	35380361	35394214	51.11	protein_coding	HMOX1
ENSG00000072163	2	127638381	127681786	56.36	protein_coding	LIMS2
ENSG00000262476	CHR_HSCHR21_2_CTG1_1	22209939	22212813	37.36	lincRNA	
ENSG00000157617	21	41885112	41953890	47.89	protein_coding	C2CD2
ENSG00000277709	CHR_HSCHR19LRC_LRC_J_CTG3_1	54883911	54885779	56.13	protein_coding	KIR3DL2
ENSG00000266460	18	75844925	75868252	42.37	lincRNA	
ENSG00000233005	2	21221175	21970959	38.68	lincRNA	
ENSG00000168122	21	13095305	13113790	34.06	unprocessed_pseudogene	ZNF355P
ENSG00000205412	3	148166344	148167298	46.39	processed_pseudogene	HNRNPA1P20
ENSG00000006757	X	7898247	7927739	40.45	protein_coding	PNPLA4
ENSG00000234189	2	22317053	22317244	41.67	processed_pseudogene	
ENSG00000275827	18	75927836	75928004	42.60	processed_pseudogene	
ENSG00000282598	CHR_HSCHR11_1_CTG8	668204	680202	49.01	antisense	
ENSG00000244650	3	148160911	148226606	34.86	lincRNA	
ENSG00000235537	2	21607465	21637197	37.74	lincRNA	
ENSG00000251616	5	133111055	133114475	50.86	lincRNA	
ENSG00000282712	CHR_HSCHR11_1_CTG8	646472	677067	50.98	protein_coding	DEAF1
ENSG00000104671	8	30156297	30183640	41.56	protein_coding	DCTN6
ENSG00000249557	5	19233366	19234487	37.17	processed_pseudogene	HSPD1P15
ENSG00000254785	11	89895799	89900449	45.78	unprocessed_pseudogene	
ENSG00000243347	3	148195729	148280098	36.52	lincRNA	LINC02045
ENSG00000228538	2	21638184	21649563	42.74	lincRNA	
ENSG00000253508	7	27186573	27193448	55.85	lincRNA	
ENSG00000282684	CHR_HSCHR8_3_CTG7	143536257	143541453	61.27	protein_coding	ZC3H3
ENSG00000255055	11	89908540	89909047	39.57	processed_pseudogene	MTND1P35
ENSG00000236445	2	218975393	218989940	55.40	antisense	LINC00608
ENSG00000240990	7	27184507	27189298	55.51	antisense	HOXA11-AS
ENSG00000225347	9	32333457	32334354	49.67	processed_pseudogene	SLC25A5P8
ENSG00000237202	21	13120244	13120807	42.55	processed_pseudogene	
ENSG00000224728	3	15878047	15879571	57.11	processed_pseudogene	IMPDH1P8
ENSG00000231204	2	21317660	21561313	39.35	lincRNA	
ENSG00000224524	21	15490530	15490767	44.96	processed_pseudogene	CYCSP42
ENSG00000278698	13	106773623	106774279	39.42	lincRNA	
ENSG00000174326	17	7041630	7043923	66.96	protein_coding	SLC16A11
ENSG00000250118	5	30365405	30365684	50.71	processed_pseudogene	
ENSG00000247925	6	11173452	11259099	43.29	antisense	
ENSG00000174408	13	106863816	106864286	49.04	processed_pseudogene	PPIAP24
ENSG00000120158	9	4792869	4885917	42.83	protein_coding	RCL1
ENSG00000279847	8	93134095	93166850	37.36	lincRNA	C8orf87
ENSG00000262993	CHR_HSCHR17_1_CTG4	41401024	41404892	49.73	protein_coding	KRT31
ENSG00000111859	6	11183298	11382348	43.09	protein_coding	NEDD9
ENSG00000149742	11	63369789	63410294	37.60	protein_coding	SLC22A9
ENSG00000084207	11	67583595	67586656	63.06	protein_coding	GSTP1
ENSG00000253496	8	16598758	16915044	36.98	lincRNA	
ENSG00000064687	19	1040101	1065572	60.49	protein_coding	ABCA7
ENSG00000234801	4	173615936	173616906	42.95	processed_pseudogene	MORF4
ENSG00000213370	4	173633728	173634371	45.50	processed_pseudogene	RANP6
ENSG00000140254	15	45117367	45129938	49.20	protein_coding	DUOXA1
ENSG00000262116	16	13197606	13204907	42.37	antisense	
ENSG00000163497	2	218981087	218985657	63.18	protein_coding	FEV
ENSG00000237125	4	173527270	173659696	39.48	antisense	HAND2-AS1
ENSG00000251679	4	14134936	14143592	38.07	lincRNA	
ENSG00000281904	2	90365737	90367699	30.57	lincRNA	
ENSG00000225834	CHR_HSCHR6_MHC_COX_CTG1	32338729	32341897	37.65	processed_transcript	
ENSG00000230964	2	91578478	91578573	39.58	processed_pseudogene	
ENSG00000263141	CHR_HSCHR21_3_CTG1_1	32769814	32771858	50.76	protein_coding	PAXBP1
ENSG00000248698	4	14111968	14140052	39.77	transcribed_processed_pseudogene	LINC01085
ENSG00000253184	8	16604255	16664879	35.23	lincRNA	
ENSG00000237750	2	162768936	162797972	34.88	antisense	
ENSG00000261600	2	91580336	91580863	26.89	lincRNA	
ENSG00000236919	11	50246554	50247761	62.58	unprocessed_pseudogene	
ENSG00000255166	8	43247191	43247410	68.64	processed_pseudogene	
ENSG00000204787	2	79135503	79138427	44.48	transcribed_unprocessed_pseudogene	REG1CP
ENSG00000188078	22	36536656	36537604	55.85	unprocessed_pseudogene	
ENSG00000224770	CHR_HSCHR6_MHC_COX_CTG1	32342174	32355327	42.10	protein_coding	BTNL2
ENSG00000115271	2	162318840	162371595	36.25	protein_coding	GCA
ENSG00000282192	CHR_HSCHR8_3_CTG7	143542110	143542400	54.30	antisense	
ENSG00000119906	10	100912569	100965136	39.04	protein_coding	SLF2
ENSG00000262748	CHR_HSCHR17_1_CTG4	41384972	41389707	49.81	protein_coding	
ENSG00000270367	3	39285985	39287920	42.25	processed_pseudogene	
ENSG00000237057	17	15806241	15817742	43.61	lincRNA	LINC02087
ENSG00000228799	2	900216	905451	42.95	lincRNA	LINC01939
ENSG00000229690	20	60414396	60414872	42.98	processed_pseudogene	MTCO2P1
ENSG00000101144	20	57168748	57266629	49.98	protein_coding	BMP7
ENSG00000117906	15	76931619	76954392	38.97	protein_coding	RCN2
ENSG00000229971	22	36552165	36552700	44.03	antisense	
ENSG00000262860	CHR_HSCHR19_1_CTG3_1	34172447	34229322	39.90	protein_coding	LSM14A
ENSG00000109881	11	27330827	27363868	37.62	protein_coding	CCDC34
ENSG00000249407	3	136959125	136982196	41.21	antisense	IL20RB-AS1
ENSG00000234796	2	910926	921124	45.17	antisense	
ENSG00000158092	3	136862208	136949823	39.43	protein_coding	NCK1
ENSG00000261675	22	36560870	36562915	51.76	sense_overlapping	
ENSG00000248245	5	133160438	133224413	42.40	antisense	
ENSG00000230394	X	8007378	8018160	38.04	lincRNA	
ENSG00000124429	X	85277396	85379743	35.73	protein_coding	POF1B
ENSG00000275921	CHR_HSCHR19LRC_LRC_J_CTG3_1	54867554	54882047	48.36	protein_coding	
ENSG00000107614	10	17142254	17202054	36.72	protein_coding	TRDMT1
ENSG00000166862	22	36563921	36703558	47.64	protein_coding	CACNG2
ENSG00000235439	CHR_HSCHR6_MHC_SSTO_CTG1	31520968	31533197	47.23	protein_coding	DDX39B
ENSG00000177504	X	8169944	8171267	57.18	protein_coding	VCX2
ENSG00000280104	5	133457805	133458331	39.66	TEC	
ENSG00000053108	5	133196455	133612564	46.69	protein_coding	FSTL4
ENSG00000270542	9	33449755	33449941	47.59	processed_pseudogene	
ENSG00000238043	3	193980614	194006098	45.63	lincRNA	
ENSG00000153495	13	111316184	111344249	50.50	protein_coding	TEX29
ENSG00000248302	4	49096	50124	34.79	transcribed_processed_pseudogene	BNIP3P41
ENSG00000276407	3	194070103	194080443	48.16	lincRNA	
ENSG00000272602	4	53285	88211	38.31	protein_coding	ZNF595
ENSG00000229511	9	38486859	38488338	67.03	processed_pseudogene	GAS2L1P1
ENSG00000215165	9	38478471	38479350	44.09	processed_pseudogene	TCEA1P3
ENSG00000273036	9	38540567	38542792	53.01	transcribed_processed_pseudogene	
ENSG00000272934	9	38542389	38543215	54.66	processed_transcript	
ENSG00000274776	18	46786699	46789297	38.98	lincRNA	
ENSG00000285679	X	8045186	8231386	39.25	antisense	
ENSG00000204860	9	38620474	38624990	50.72	antisense	FAM201A
ENSG00000240758	7	128455937	128469197	45.60	processed_transcript	
ENSG00000235688	2	949627	950274	57.25	antisense	
ENSG00000137809	15	68296533	68432162	49.23	protein_coding	ITGA11
ENSG00000227959	1	16155211	16157329	61.07	antisense	
ENSG00000179299	4	40749897	40809985	39.54	protein_coding	NSUN7
ENSG00000249988	4	14164455	14242813	38.47	lincRNA	
ENSG00000272601	7	128466563	128469171	42.20	transcribed_unprocessed_pseudogene	
ENSG00000270555	7	72768798	72769191	40.36	processed_pseudogene	
ENSG00000244065	3	128843564	128844404	50.06	processed_pseudogene	MARK2P17
ENSG00000243022	3	128848673	128849399	52.96	processed_pseudogene	MARK3P3
ENSG00000242062	3	128852112	128853008	50.84	processed_pseudogene	MARK2P6
ENSG00000135245	7	128455849	128458418	51.52	protein_coding	HILPDA
ENSG00000261159	3	128859716	128860526	49.57	lincRNA	
ENSG00000271869	8	30155830	30156232	54.09	lincRNA	
ENSG00000241511	8	30117384	30117779	44.95	processed_pseudogene	RPS15AP24
ENSG00000225345	9	38566260	38568211	45.80	transcribed_unprocessed_pseudogene	SNX18P3
ENSG00000179468	7	143026158	143027195	44.80	protein_coding	OR9A2
ENSG00000104660	8	30095398	30177208	42.61	protein_coding	LEPROTL1
ENSG00000176007	9	38527097	38527912	51.10	processed_pseudogene	FAM220BP
ENSG00000231305	3	128861313	128871540	49.13	antisense	
ENSG00000227739	CHR_HSCHR6_MHC_COX_CTG1	30710059	30715284	53.04	protein_coding	TUBB
ENSG00000108958	17	1858039	1858446	52.21	processed_pseudogene	
ENSG00000132383	17	1829702	1900082	44.49	protein_coding	RPA1
ENSG00000164902	5	126600268	126627252	43.51	protein_coding	PHAX
ENSG00000283162	9	38433696	38543880	41.54	transcribed_unprocessed_pseudogene	
ENSG00000283486	9	38540569	38577207	47.61	protein_coding	FAM95C
ENSG00000179934	3	39329706	39333511	42.41	protein_coding	CCR8
ENSG00000103415	16	4474690	4510347	47.62	protein_coding	HMOX2
ENSG00000215881	13	111596009	111642079	46.92	lincRNA	LINC02337
ENSG00000250796	3	128869624	128870026	53.60	processed_pseudogene	
ENSG00000204398	13	111588201	111672608	47.50	lincRNA	
ENSG00000227790	17	15829369	15908632	43.10	transcribed_unprocessed_pseudogene	SPECC1P1
ENSG00000226903	13	111899985	111901176	52.60	lincRNA	LINC00354
ENSG00000165055	7	128476729	128506602	45.29	protein_coding	METTL2B
ENSG00000254691	11	77850604	77851511	39.98	antisense	
ENSG00000230118	2	30746444	30746701	44.57	processed_pseudogene	
ENSG00000241782	11	77868722	77869195	43.46	processed_pseudogene	
ENSG00000162949	2	30722771	30820542	45.57	protein_coding	CAPN13
ENSG00000255449	11	77866412	77870091	44.46	antisense	
ENSG00000223372	CHR_HSCHR6_MHC_MCF_CTG1	33145868	33150636	48.96	transcribed_unprocessed_pseudogene	HLA-DPB2
ENSG00000087884	11	77821109	77918432	41.82	protein_coding	AAMDC
ENSG00000250989	9	38543104	38543446	53.64	transcribed_processed_pseudogene	
ENSG00000237487	9	38504447	38505482	40.93	processed_pseudogene	VN1R48P
ENSG00000268191	19	6494320	6495025	53.97	antisense	
ENSG00000248209	4	127493505	127493828	45.37	processed_pseudogene	
ENSG00000259922	16	57013071	57014100	34.85	processed_pseudogene	
ENSG00000249795	4	127498327	127498807	42.41	processed_pseudogene	
ENSG00000268203	19	6494320	6494805	54.73	antisense	
ENSG00000173275	X	135344796	135363152	37.90	protein_coding	ZNF449
ENSG00000140853	16	56989485	57083531	49.44	protein_coding	NLRC5
ENSG00000104833	19	6494319	6502848	56.05	protein_coding	TUBB4A
ENSG00000266302	17	16690261	16804453	38.81	protein_coding	
ENSG00000230080	11	1802889	1804095	59.49	processed_pseudogene	
ENSG00000239293	7	143047213	143047580	43.48	unprocessed_pseudogene	OR9P1P
ENSG00000229869	10	933026	942743	45.90	antisense	
ENSG00000225781	7	143052320	143053347	54.09	protein_coding	OR6V1
ENSG00000170160	17	16689537	16777881	38.37	protein_coding	CCDC144A
ENSG00000226173	CHR_HSCHR6_MHC_MANN_CTG1	32998969	33007738	50.43	protein_coding	TAP1
ENSG00000225064	2	207260445	207270690	44.08	lincRNA	LINC01802
ENSG00000143977	2	70281362	70293771	41.09	protein_coding	SNRPG
ENSG00000229647	2	207239650	207245887	45.13	lincRNA	MYOSLID
ENSG00000262045	CHR_HSCHR17_1_CTG4	41377665	41382400	49.81	protein_coding	KRT34
ENSG00000134755	18	31058840	31102522	37.10	protein_coding	DSC2
ENSG00000179420	7	143062330	143063585	51.91	transcribed_unprocessed_pseudogene	OR6W1P
ENSG00000229015	X	135396429	135397764	43.94	transcribed_unprocessed_pseudogene	
ENSG00000159763	7	143132077	143139746	42.19	protein_coding	PIP
ENSG00000118260	2	207529737	207603431	37.47	protein_coding	CREB1
ENSG00000067064	10	1039152	1049170	43.02	protein_coding	IDI1
ENSG00000178947	X	135421943	135428074	58.22	protein_coding	SMIM10L2A
ENSG00000230341	CHR_HSCHR6_MHC_APD_CTG1	30740303	30751809	56.10	protein_coding	PPP1R18
ENSG00000225769	X	135432960	135438634	65.69	processed_pseudogene	CROCCP1
ENSG00000277114	CHR_HSCHR19LRC_COX1_CTG3_1	54138182	54156190	57.88	protein_coding	CNOT3
ENSG00000273988	X	135445897	135447368	38.45	unprocessed_pseudogene	
ENSG00000250409	5	133387773	133388549	44.40	antisense	
ENSG00000271158	X	135464329	135465484	52.08	processed_pseudogene	
ENSG00000240611	5	133172218	133173053	42.58	processed_pseudogene	
ENSG00000279197	5	133574829	133575298	36.38	TEC	
ENSG00000250244	5	133256492	133275977	49.29	antisense	
ENSG00000214283	3	136899076	136900076	38.86	processed_pseudogene	RAD51AP1P1
ENSG00000165359	X	135520643	135582510	38.59	protein_coding	INTS6L
ENSG00000249142	5	32522758	32523865	50.72	processed_pseudogene	
ENSG00000224832	21	24304546	24321377	36.15	lincRNA	LINC01689
ENSG00000110375	11	118925164	118958559	51.76	protein_coding	UPK2
ENSG00000251243	5	133720495	133720934	36.14	processed_pseudogene	
ENSG00000249478	5	133243764	133248781	51.57	antisense	
ENSG00000179913	19	17794828	17813082	52.93	protein_coding	B3GNT3
ENSG00000230929	5	126628019	126628319	50.17	processed_pseudogene	
ENSG00000110218	11	94128928	94181972	43.10	protein_coding	PANX1
ENSG00000196900	5	126631722	126636287	41.72	protein_coding	TEX43
ENSG00000235032	20	57214872	57215866	52.46	antisense	BMP7-AS1
ENSG00000255500	11	50268161	50269273	41.33	processed_pseudogene	
ENSG00000280424	22	46006616	46010777	58.87	TEC	
ENSG00000255001	11	50290749	50290933	26.49	processed_pseudogene	
ENSG00000255042	11	50279828	50298452	38.95	transcribed_unprocessed_pseudogene	
ENSG00000248780	4	40786110	40786710	39.43	processed_pseudogene	ARL4AP2
ENSG00000205642	X	8464830	8466510	57.23	protein_coding	VCX3B
ENSG00000275223	20	33655701	33656423	57.95	lincRNA	
ENSG00000188655	14	20556093	20560931	37.53	protein_coding	RNASE9
ENSG00000273145	22	46013606	46015498	60.96	lincRNA	
ENSG00000227993	CHR_HSCHR6_MHC_COX_CTG1	32388087	32393254	43.00	protein_coding	HLA-DRA
ENSG00000231711	22	46039907	46044853	48.64	processed_transcript	LINC00899
ENSG00000245869	11	118885841	118887742	53.68	antisense	
ENSG00000267691	17	44228760	44230228	55.41	processed_pseudogene	SHC1P2
ENSG00000121089	4	164943290	164943937	45.22	processed_pseudogene	NACA3P
ENSG00000236398	7	143183419	143184435	43.85	protein_coding	TAS2R39
ENSG00000186174	11	118893875	118925608	59.25	protein_coding	BCL9L
ENSG00000279245	X	154571248	154571960	46.42	lincRNA	FAM223A
ENSG00000254518	11	50298579	50304656	47.43	lincRNA	
ENSG00000236941	4	164948079	164949438	44.12	processed_pseudogene	
ENSG00000273041	X	154580926	154581998	53.40	processed_pseudogene	ATF4P2
ENSG00000231010	22	46055740	46058160	46.96	lincRNA	
ENSG00000186532	17	1779485	1830634	46.16	protein_coding	SMYD4
ENSG00000110090	11	68754620	68844410	50.04	protein_coding	CPT1A
ENSG00000273289	22	46053093	46053560	57.48	antisense	
ENSG00000241990	22	46053705	46057210	55.48	antisense	PRR34-AS1
ENSG00000250357	4	148693032	148694323	34.06	lincRNA	
ENSG00000278812	CHR_HSCHR8_4_CTG7	143039209	143059942	51.14	processed_transcript	C8orf31
ENSG00000225176	4	148703526	148703832	42.35	processed_pseudogene	ATP5MGP4
ENSG00000160111	19	16892947	17026815	50.20	protein_coding	CPAMD8
ENSG00000275918	CHR_HSCHR19_4_CTG3_1	54540656	54553413	48.98	protein_coding	KIR3DX1
ENSG00000272572	10	100911103	100912739	41.66	antisense	
ENSG00000233010	22	29608900	29609501	47.34	processed_pseudogene	RPEP4
ENSG00000184611	2	162371407	162838730	35.03	protein_coding	KCNH7
ENSG00000266929	17	42536510	42562062	55.06	processed_transcript	
ENSG00000237484	21	24428740	24547942	34.59	lincRNA	LINC01684
ENSG00000255804	14	22630929	22644352	49.44	protein_coding	OR6J1
ENSG00000278131	2	91589494	91621421	45.86	unprocessed_pseudogene	
ENSG00000143429	2	91617160	91659972	46.65	transcribed_unprocessed_pseudogene	LSP1P4
ENSG00000242061	14	22694098	22694535	42.47	processed_pseudogene	
ENSG00000148377	10	1018907	1025859	46.96	protein_coding	IDI2
